Time(s)	Capacitor Voltage(V)	Capacitor Current(A)
0.00	0.00	5.00
0.01	0.38	4.91
0.02	0.74	4.64
0.03	1.08	4.21
0.04	1.38	3.62
0.05	1.63	2.90
0.06	1.82	2.08
0.07	1.94	1.18
0.08	2.00	0.24
0.09	1.98	-0.71
0.10	1.89	-1.64
0.11	1.73	-2.50
0.12	1.51	-3.27
0.13	1.24	-3.93
0.14	0.92	-4.44
0.15	0.56	-4.80
0.16	0.19	-4.98
0.17	-0.19	-4.98
0.18	-0.56	-4.80
0.19	-0.92	-4.44
0.20	-1.24	-3.93
0.21	-1.51	-3.27
0.22	-1.73	-2.50
0.23	-1.89	-1.64
0.24	-1.98	-0.71
0.25	-2.00	0.24
0.26	-1.94	1.18
0.27	-1.82	2.08
0.28	-1.63	2.90
0.29	-1.38	3.62
0.30	-1.08	4.21
0.31	-0.74	4.64
0.32	-0.38	4.91
0.33	-0.00	5.00
0.34	0.38	4.91
0.35	0.74	4.64
0.36	1.08	4.21
0.37	1.38	3.62
0.38	1.63	2.90
0.39	1.82	2.08
0.40	1.94	1.18
0.41	2.00	0.24
0.42	1.98	-0.71
0.43	1.89	-1.64
0.44	1.73	-2.50
0.45	1.51	-3.27
0.46	1.24	-3.93
0.47	0.92	-4.44
0.48	0.56	-4.80
0.49	0.19	-4.98
0.51	-0.19	-4.98
0.52	-0.56	-4.80
0.53	-0.92	-4.44
0.54	-1.24	-3.93
0.55	-1.51	-3.27
0.56	-1.73	-2.50
0.57	-1.89	-1.64
0.58	-1.98	-0.71
0.59	-2.00	0.24
0.60	-1.94	1.18
0.61	-1.82	2.08
0.62	-1.63	2.90
0.63	-1.38	3.62
0.64	-1.08	4.21
0.65	-0.74	4.64
0.66	-0.38	4.91
0.67	-0.00	5.00
0.68	0.38	4.91
0.69	0.74	4.64
0.70	1.08	4.21
0.71	1.38	3.62
0.72	1.63	2.90
0.73	1.82	2.08
0.74	1.94	1.18
0.75	2.00	0.24
0.76	1.98	-0.71
0.77	1.89	-1.64
0.78	1.73	-2.50
0.79	1.51	-3.27
0.80	1.24	-3.93
0.81	0.92	-4.44
0.82	0.56	-4.80
0.83	0.19	-4.98
0.84	-0.19	-4.98
0.85	-0.56	-4.80
0.86	-0.92	-4.44
0.87	-1.24	-3.93
0.88	-1.51	-3.27
0.89	-1.73	-2.50
0.90	-1.89	-1.64
0.91	-1.98	-0.71
0.92	-2.00	0.24
0.93	-1.94	1.18
0.94	-1.82	2.08
0.95	-1.63	2.90
0.96	-1.38	3.62
0.97	-1.08	4.21
0.98	-0.74	4.64
0.99	-0.38	4.91
1.00	-0.00	5.00
