Time	Voltage	Current
0	55.00	0.00
1	55.00	5.23
2	55.00	9.97
3	55.00	14.25
4	55.00	18.13
5	55.00	21.64
6	55.00	24.82
7	55.00	27.69
8	55.00	30.29
9	55.00	32.64
10	55.00	34.77
11	55.00	36.69
12	55.00	38.43
13	55.00	40.01
14	55.00	41.44
15	55.00	42.73
16	55.00	43.90
17	55.00	44.95
18	55.00	45.91
19	55.00	46.77
20	55.00	47.56
21	55.00	48.26
22	55.00	48.91
23	55.00	49.49
24	55.00	50.01
25	55.00	50.49
26	55.00	50.91
27	55.00	51.30
28	55.00	51.66
29	55.00	51.97
30	55.00	52.26
31	55.00	52.52
32	55.00	52.76
33	55.00	52.97
34	55.00	53.16
35	55.00	53.34
36	55.00	53.50
37	55.00	53.64
38	55.00	53.77
39	55.00	53.89
40	55.00	53.99
41	55.00	54.09
42	55.00	54.18
43	55.00	54.25
44	55.00	54.32
45	55.00	54.39
46	55.00	54.45
47	55.00	54.50
48	55.00	54.55
49	55.00	54.59
50	55.00	54.63
51	55.00	54.66
52	55.00	54.70
53	55.00	54.73
54	55.00	54.75
55	55.00	54.78
56	55.00	54.80
57	55.00	54.82
58	55.00	54.83
59	55.00	54.85
60	55.00	54.86
61	55.00	54.88
62	55.00	54.89
63	55.00	54.90
64	55.00	54.91
65	55.00	54.92
66	55.00	54.93
67	55.00	54.93
68	55.00	54.94
69	55.00	54.94
70	55.00	54.95
71	55.00	54.95
72	55.00	54.96
73	55.00	54.96
74	55.00	54.97
75	55.00	54.97
76	55.00	54.97
77	55.00	54.98
78	55.00	54.98
79	55.00	54.98
80	55.00	54.98
81	55.00	54.98
82	55.00	54.98
83	55.00	54.99
84	55.00	54.99
85	55.00	54.99
86	55.00	54.99
87	55.00	54.99
88	55.00	54.99
89	55.00	54.99
90	55.00	54.99
91	55.00	54.99
92	55.00	54.99
93	55.00	54.99
94	55.00	55.00
95	55.00	55.00
96	55.00	55.00
97	55.00	55.00
98	55.00	55.00
99	55.00	55.00
100	55.00	55.00
101	55.00	55.00
102	55.00	55.00
103	55.00	55.00
104	55.00	55.00
105	55.00	55.00
106	55.00	55.00
107	55.00	55.00
108	55.00	55.00
109	55.00	55.00
110	55.00	55.00
111	55.00	55.00
112	55.00	55.00
113	55.00	55.00
114	55.00	55.00
115	55.00	55.00
116	55.00	55.00
117	55.00	55.00
118	55.00	55.00
119	55.00	55.00
120	55.00	55.00
121	55.00	55.00
122	55.00	55.00
123	55.00	55.00
124	55.00	55.00
125	55.00	55.00
126	55.00	55.00
127	55.00	55.00
128	55.00	55.00
129	55.00	55.00
130	55.00	55.00
131	55.00	55.00
132	55.00	55.00
133	55.00	55.00
134	55.00	55.00
135	55.00	55.00
136	55.00	55.00
137	55.00	55.00
138	55.00	55.00
139	55.00	55.00
140	55.00	55.00
141	55.00	55.00
142	55.00	55.00
143	55.00	55.00
144	55.00	55.00
145	55.00	55.00
146	55.00	55.00
147	55.00	55.00
148	55.00	55.00
149	55.00	55.00
150	55.00	55.00
151	55.00	55.00
152	55.00	55.00
153	55.00	55.00
154	55.00	55.00
155	55.00	55.00
156	55.00	55.00
157	55.00	55.00
158	55.00	55.00
159	55.00	55.00
160	55.00	55.00
161	55.00	55.00
162	55.00	55.00
163	55.00	55.00
164	55.00	55.00
165	55.00	55.00
166	55.00	55.00
167	55.00	55.00
168	55.00	55.00
169	55.00	55.00
170	55.00	55.00
171	55.00	55.00
172	55.00	55.00
173	55.00	55.00
174	55.00	55.00
175	55.00	55.00
176	55.00	55.00
177	55.00	55.00
178	55.00	55.00
179	55.00	55.00
180	55.00	55.00
181	55.00	55.00
182	55.00	55.00
183	55.00	55.00
184	55.00	55.00
185	55.00	55.00
186	55.00	55.00
187	55.00	55.00
188	55.00	55.00
189	55.00	55.00
190	55.00	55.00
191	55.00	55.00
192	55.00	55.00
193	55.00	55.00
194	55.00	55.00
195	55.00	55.00
196	55.00	55.00
197	55.00	55.00
198	55.00	55.00
199	55.00	55.00
200	55.00	55.00
201	55.00	55.00
202	55.00	55.00
203	55.00	55.00
204	55.00	55.00
205	55.00	55.00
206	55.00	55.00
207	55.00	55.00
208	55.00	55.00
209	55.00	55.00
210	55.00	55.00
211	55.00	55.00
212	55.00	55.00
213	55.00	55.00
214	55.00	55.00
215	55.00	55.00
216	55.00	55.00
217	55.00	55.00
218	55.00	55.00
219	55.00	55.00
220	55.00	55.00
221	55.00	55.00
222	55.00	55.00
223	55.00	55.00
224	55.00	55.00
225	55.00	55.00
226	55.00	55.00
227	55.00	55.00
228	55.00	55.00
229	55.00	55.00
230	55.00	55.00
231	55.00	55.00
232	55.00	55.00
233	55.00	55.00
234	55.00	55.00
235	55.00	55.00
236	55.00	55.00
237	55.00	55.00
238	55.00	55.00
239	55.00	55.00
240	55.00	55.00
241	55.00	55.00
242	55.00	55.00
243	55.00	55.00
244	55.00	55.00
245	55.00	55.00
246	55.00	55.00
247	55.00	55.00
248	55.00	55.00
249	55.00	55.00
250	55.00	55.00
251	55.00	55.00
252	55.00	55.00
253	55.00	55.00
254	55.00	55.00
255	55.00	55.00
256	55.00	55.00
257	55.00	55.00
258	55.00	55.00
259	55.00	55.00
260	55.00	55.00
261	55.00	55.00
262	55.00	55.00
263	55.00	55.00
264	55.00	55.00
265	55.00	55.00
266	55.00	55.00
267	55.00	55.00
268	55.00	55.00
269	55.00	55.00
270	55.00	55.00
271	55.00	55.00
272	55.00	55.00
273	55.00	55.00
274	55.00	55.00
275	55.00	55.00
276	55.00	55.00
277	55.00	55.00
278	55.00	55.00
279	55.00	55.00
280	55.00	55.00
281	55.00	55.00
282	55.00	55.00
283	55.00	55.00
284	55.00	55.00
285	55.00	55.00
286	55.00	55.00
287	55.00	55.00
288	55.00	55.00
289	55.00	55.00
290	55.00	55.00
291	55.00	55.00
292	55.00	55.00
293	55.00	55.00
294	55.00	55.00
295	55.00	55.00
296	55.00	55.00
297	55.00	55.00
298	55.00	55.00
299	55.00	55.00
300	55.00	55.00
301	55.00	55.00
302	55.00	55.00
303	55.00	55.00
304	55.00	55.00
305	55.00	55.00
306	55.00	55.00
307	55.00	55.00
308	55.00	55.00
309	55.00	55.00
310	55.00	55.00
311	55.00	55.00
312	55.00	55.00
313	55.00	55.00
314	55.00	55.00
315	55.00	55.00
316	55.00	55.00
317	55.00	55.00
318	55.00	55.00
319	55.00	55.00
320	55.00	55.00
321	55.00	55.00
322	55.00	55.00
323	55.00	55.00
324	55.00	55.00
325	55.00	55.00
326	55.00	55.00
327	55.00	55.00
328	55.00	55.00
329	55.00	55.00
330	55.00	55.00
331	55.00	55.00
332	55.00	55.00
333	55.00	55.00
334	55.00	55.00
335	55.00	55.00
336	55.00	55.00
337	55.00	55.00
338	55.00	55.00
339	55.00	55.00
340	55.00	55.00
341	55.00	55.00
342	55.00	55.00
343	55.00	55.00
344	55.00	55.00
345	55.00	55.00
346	55.00	55.00
347	55.00	55.00
348	55.00	55.00
349	55.00	55.00
350	55.00	55.00
351	55.00	55.00
352	55.00	55.00
353	55.00	55.00
354	55.00	55.00
355	55.00	55.00
356	55.00	55.00
357	55.00	55.00
358	55.00	55.00
359	55.00	55.00
360	55.00	55.00
361	55.00	55.00
362	55.00	55.00
363	55.00	55.00
364	55.00	55.00
365	55.00	55.00
366	55.00	55.00
367	55.00	55.00
368	55.00	55.00
369	55.00	55.00
370	55.00	55.00
371	55.00	55.00
372	55.00	55.00
373	55.00	55.00
374	55.00	55.00
375	55.00	55.00
376	55.00	55.00
377	55.00	55.00
378	55.00	55.00
379	55.00	55.00
380	55.00	55.00
381	55.00	55.00
382	55.00	55.00
383	55.00	55.00
384	55.00	55.00
385	55.00	55.00
386	55.00	55.00
387	55.00	55.00
388	55.00	55.00
389	55.00	55.00
390	55.00	55.00
391	55.00	55.00
392	55.00	55.00
393	55.00	55.00
394	55.00	55.00
395	55.00	55.00
396	55.00	55.00
397	55.00	55.00
398	55.00	55.00
399	55.00	55.00
400	55.00	55.00
401	55.00	55.00
402	55.00	55.00
403	55.00	55.00
404	55.00	55.00
405	55.00	55.00
406	55.00	55.00
407	55.00	55.00
408	55.00	55.00
409	55.00	55.00
410	55.00	55.00
411	55.00	55.00
412	55.00	55.00
413	55.00	55.00
414	55.00	55.00
415	55.00	55.00
416	55.00	55.00
417	55.00	55.00
418	55.00	55.00
419	55.00	55.00
420	55.00	55.00
421	55.00	55.00
422	55.00	55.00
423	55.00	55.00
424	55.00	55.00
425	55.00	55.00
426	55.00	55.00
427	55.00	55.00
428	55.00	55.00
429	55.00	55.00
430	55.00	55.00
431	55.00	55.00
432	55.00	55.00
433	55.00	55.00
434	55.00	55.00
435	55.00	55.00
436	55.00	55.00
437	55.00	55.00
438	55.00	55.00
439	55.00	55.00
440	55.00	55.00
441	55.00	55.00
442	55.00	55.00
443	55.00	55.00
444	55.00	55.00
445	55.00	55.00
446	55.00	55.00
447	55.00	55.00
448	55.00	55.00
449	55.00	55.00
450	55.00	55.00
451	55.00	55.00
452	55.00	55.00
453	55.00	55.00
454	55.00	55.00
455	55.00	55.00
456	55.00	55.00
457	55.00	55.00
458	55.00	55.00
459	55.00	55.00
460	55.00	55.00
461	55.00	55.00
462	55.00	55.00
463	55.00	55.00
464	55.00	55.00
465	55.00	55.00
466	55.00	55.00
467	55.00	55.00
468	55.00	55.00
469	55.00	55.00
470	55.00	55.00
471	55.00	55.00
472	55.00	55.00
473	55.00	55.00
474	55.00	55.00
475	55.00	55.00
476	55.00	55.00
477	55.00	55.00
478	55.00	55.00
479	55.00	55.00
480	55.00	55.00
481	55.00	55.00
482	55.00	55.00
483	55.00	55.00
484	55.00	55.00
485	55.00	55.00
486	55.00	55.00
487	55.00	55.00
488	55.00	55.00
489	55.00	55.00
490	55.00	55.00
491	55.00	55.00
492	55.00	55.00
493	55.00	55.00
494	55.00	55.00
495	55.00	55.00
496	55.00	55.00
497	55.00	55.00
498	55.00	55.00
499	55.00	55.00
500	55.00	55.00
501	55.00	55.00
502	55.00	55.00
503	55.00	55.00
504	55.00	55.00
505	55.00	55.00
506	55.00	55.00
507	55.00	55.00
508	55.00	55.00
509	55.00	55.00
510	55.00	55.00
511	55.00	55.00
512	55.00	55.00
513	55.00	55.00
514	55.00	55.00
515	55.00	55.00
516	55.00	55.00
517	55.00	55.00
518	55.00	55.00
519	55.00	55.00
520	55.00	55.00
521	55.00	55.00
522	55.00	55.00
523	55.00	55.00
524	55.00	55.00
525	55.00	55.00
526	55.00	55.00
527	55.00	55.00
528	55.00	55.00
529	55.00	55.00
530	55.00	55.00
531	55.00	55.00
532	55.00	55.00
533	55.00	55.00
534	55.00	55.00
535	55.00	55.00
536	55.00	55.00
537	55.00	55.00
538	55.00	55.00
539	55.00	55.00
540	55.00	55.00
541	55.00	55.00
542	55.00	55.00
543	55.00	55.00
544	55.00	55.00
545	55.00	55.00
546	55.00	55.00
547	55.00	55.00
548	55.00	55.00
549	55.00	55.00
550	55.00	55.00
551	55.00	55.00
552	55.00	55.00
553	55.00	55.00
554	55.00	55.00
555	55.00	55.00
556	55.00	55.00
557	55.00	55.00
558	55.00	55.00
559	55.00	55.00
560	55.00	55.00
561	55.00	55.00
562	55.00	55.00
563	55.00	55.00
564	55.00	55.00
565	55.00	55.00
566	55.00	55.00
567	55.00	55.00
568	55.00	55.00
569	55.00	55.00
570	55.00	55.00
571	55.00	55.00
572	55.00	55.00
573	55.00	55.00
574	55.00	55.00
575	55.00	55.00
576	55.00	55.00
577	55.00	55.00
578	55.00	55.00
579	55.00	55.00
580	55.00	55.00
581	55.00	55.00
582	55.00	55.00
583	55.00	55.00
584	55.00	55.00
585	55.00	55.00
586	55.00	55.00
587	55.00	55.00
588	55.00	55.00
589	55.00	55.00
590	55.00	55.00
591	55.00	55.00
592	55.00	55.00
593	55.00	55.00
594	55.00	55.00
595	55.00	55.00
596	55.00	55.00
597	55.00	55.00
598	55.00	55.00
599	55.00	55.00
600	55.00	55.00
601	55.00	55.00
602	55.00	55.00
603	55.00	55.00
604	55.00	55.00
605	55.00	55.00
606	55.00	55.00
607	55.00	55.00
608	55.00	55.00
609	55.00	55.00
610	55.00	55.00
611	55.00	55.00
612	55.00	55.00
613	55.00	55.00
614	55.00	55.00
615	55.00	55.00
616	55.00	55.00
617	55.00	55.00
618	55.00	55.00
619	55.00	55.00
620	55.00	55.00
621	55.00	55.00
622	55.00	55.00
623	55.00	55.00
624	55.00	55.00
625	55.00	55.00
626	55.00	55.00
627	55.00	55.00
628	55.00	55.00
629	55.00	55.00
630	55.00	55.00
631	55.00	55.00
632	55.00	55.00
633	55.00	55.00
634	55.00	55.00
635	55.00	55.00
636	55.00	55.00
637	55.00	55.00
638	55.00	55.00
639	55.00	55.00
640	55.00	55.00
641	55.00	55.00
642	55.00	55.00
643	55.00	55.00
644	55.00	55.00
645	55.00	55.00
646	55.00	55.00
647	55.00	55.00
648	55.00	55.00
649	55.00	55.00
650	55.00	55.00
651	55.00	55.00
652	55.00	55.00
653	55.00	55.00
654	55.00	55.00
655	55.00	55.00
656	55.00	55.00
657	55.00	55.00
658	55.00	55.00
659	55.00	55.00
660	55.00	55.00
661	55.00	55.00
662	55.00	55.00
663	55.00	55.00
664	55.00	55.00
665	55.00	55.00
666	55.00	55.00
667	55.00	55.00
668	55.00	55.00
669	55.00	55.00
670	55.00	55.00
671	55.00	55.00
672	55.00	55.00
673	55.00	55.00
674	55.00	55.00
675	55.00	55.00
676	55.00	55.00
677	55.00	55.00
678	55.00	55.00
679	55.00	55.00
680	55.00	55.00
681	55.00	55.00
682	55.00	55.00
683	55.00	55.00
684	55.00	55.00
685	55.00	55.00
686	55.00	55.00
687	55.00	55.00
688	55.00	55.00
689	55.00	55.00
690	55.00	55.00
691	55.00	55.00
692	55.00	55.00
693	55.00	55.00
694	55.00	55.00
695	55.00	55.00
696	55.00	55.00
697	55.00	55.00
698	55.00	55.00
699	55.00	55.00
700	55.00	55.00
701	55.00	55.00
702	55.00	55.00
703	55.00	55.00
704	55.00	55.00
705	55.00	55.00
706	55.00	55.00
707	55.00	55.00
708	55.00	55.00
709	55.00	55.00
710	55.00	55.00
711	55.00	55.00
712	55.00	55.00
713	55.00	55.00
714	55.00	55.00
715	55.00	55.00
716	55.00	55.00
717	55.00	55.00
718	55.00	55.00
719	55.00	55.00
720	55.00	55.00
721	55.00	55.00
722	55.00	55.00
723	55.00	55.00
724	55.00	55.00
725	55.00	55.00
726	55.00	55.00
727	55.00	55.00
728	55.00	55.00
729	55.00	55.00
730	55.00	55.00
731	55.00	55.00
732	55.00	55.00
733	55.00	55.00
734	55.00	55.00
735	55.00	55.00
736	55.00	55.00
737	55.00	55.00
738	55.00	55.00
739	55.00	55.00
740	55.00	55.00
741	55.00	55.00
742	55.00	55.00
743	55.00	55.00
744	55.00	55.00
745	55.00	55.00
746	55.00	55.00
747	55.00	55.00
748	55.00	55.00
749	55.00	55.00
750	55.00	55.00
751	55.00	55.00
752	55.00	55.00
753	55.00	55.00
754	55.00	55.00
755	55.00	55.00
756	55.00	55.00
757	55.00	55.00
758	55.00	55.00
759	55.00	55.00
760	55.00	55.00
761	55.00	55.00
762	55.00	55.00
763	55.00	55.00
764	55.00	55.00
765	55.00	55.00
766	55.00	55.00
767	55.00	55.00
768	55.00	55.00
769	55.00	55.00
770	55.00	55.00
771	55.00	55.00
772	55.00	55.00
773	55.00	55.00
774	55.00	55.00
775	55.00	55.00
776	55.00	55.00
777	55.00	55.00
778	55.00	55.00
779	55.00	55.00
780	55.00	55.00
781	55.00	55.00
782	55.00	55.00
783	55.00	55.00
784	55.00	55.00
785	55.00	55.00
786	55.00	55.00
787	55.00	55.00
788	55.00	55.00
789	55.00	55.00
790	55.00	55.00
791	55.00	55.00
792	55.00	55.00
793	55.00	55.00
794	55.00	55.00
795	55.00	55.00
796	55.00	55.00
797	55.00	55.00
798	55.00	55.00
799	55.00	55.00
800	55.00	55.00
801	55.00	55.00
802	55.00	55.00
803	55.00	55.00
804	55.00	55.00
805	55.00	55.00
806	55.00	55.00
807	55.00	55.00
808	55.00	55.00
809	55.00	55.00
810	55.00	55.00
811	55.00	55.00
812	55.00	55.00
813	55.00	55.00
814	55.00	55.00
815	55.00	55.00
816	55.00	55.00
817	55.00	55.00
818	55.00	55.00
819	55.00	55.00
820	55.00	55.00
821	55.00	55.00
822	55.00	55.00
823	55.00	55.00
824	55.00	55.00
825	55.00	55.00
826	55.00	55.00
827	55.00	55.00
828	55.00	55.00
829	55.00	55.00
830	55.00	55.00
831	55.00	55.00
832	55.00	55.00
833	55.00	55.00
834	55.00	55.00
835	55.00	55.00
836	55.00	55.00
837	55.00	55.00
838	55.00	55.00
839	55.00	55.00
840	55.00	55.00
841	55.00	55.00
842	55.00	55.00
843	55.00	55.00
844	55.00	55.00
845	55.00	55.00
846	55.00	55.00
847	55.00	55.00
848	55.00	55.00
849	55.00	55.00
850	55.00	55.00
851	55.00	55.00
852	55.00	55.00
853	55.00	55.00
854	55.00	55.00
855	55.00	55.00
856	55.00	55.00
857	55.00	55.00
858	55.00	55.00
859	55.00	55.00
860	55.00	55.00
861	55.00	55.00
862	55.00	55.00
863	55.00	55.00
864	55.00	55.00
865	55.00	55.00
866	55.00	55.00
867	55.00	55.00
868	55.00	55.00
869	55.00	55.00
870	55.00	55.00
871	55.00	55.00
872	55.00	55.00
873	55.00	55.00
874	55.00	55.00
875	55.00	55.00
876	55.00	55.00
877	55.00	55.00
878	55.00	55.00
879	55.00	55.00
880	55.00	55.00
881	55.00	55.00
882	55.00	55.00
883	55.00	55.00
884	55.00	55.00
885	55.00	55.00
886	55.00	55.00
887	55.00	55.00
888	55.00	55.00
889	55.00	55.00
890	55.00	55.00
891	55.00	55.00
892	55.00	55.00
893	55.00	55.00
894	55.00	55.00
895	55.00	55.00
896	55.00	55.00
897	55.00	55.00
898	55.00	55.00
899	55.00	55.00
900	55.00	55.00
901	55.00	55.00
902	55.00	55.00
903	55.00	55.00
904	55.00	55.00
905	55.00	55.00
906	55.00	55.00
907	55.00	55.00
908	55.00	55.00
909	55.00	55.00
910	55.00	55.00
911	55.00	55.00
912	55.00	55.00
913	55.00	55.00
914	55.00	55.00
915	55.00	55.00
916	55.00	55.00
917	55.00	55.00
918	55.00	55.00
919	55.00	55.00
920	55.00	55.00
921	55.00	55.00
922	55.00	55.00
923	55.00	55.00
924	55.00	55.00
925	55.00	55.00
926	55.00	55.00
927	55.00	55.00
928	55.00	55.00
929	55.00	55.00
930	55.00	55.00
931	55.00	55.00
932	55.00	55.00
933	55.00	55.00
934	55.00	55.00
935	55.00	55.00
936	55.00	55.00
937	55.00	55.00
938	55.00	55.00
939	55.00	55.00
940	55.00	55.00
941	55.00	55.00
942	55.00	55.00
943	55.00	55.00
944	55.00	55.00
945	55.00	55.00
946	55.00	55.00
947	55.00	55.00
948	55.00	55.00
949	55.00	55.00
950	55.00	55.00
951	55.00	55.00
952	55.00	55.00
953	55.00	55.00
954	55.00	55.00
955	55.00	55.00
956	55.00	55.00
957	55.00	55.00
958	55.00	55.00
959	55.00	55.00
960	55.00	55.00
961	55.00	55.00
962	55.00	55.00
963	55.00	55.00
964	55.00	55.00
965	55.00	55.00
966	55.00	55.00
967	55.00	55.00
968	55.00	55.00
969	55.00	55.00
970	55.00	55.00
971	55.00	55.00
972	55.00	55.00
973	55.00	55.00
974	55.00	55.00
975	55.00	55.00
976	55.00	55.00
977	55.00	55.00
978	55.00	55.00
979	55.00	55.00
980	55.00	55.00
981	55.00	55.00
982	55.00	55.00
983	55.00	55.00
984	55.00	55.00
985	55.00	55.00
986	55.00	55.00
987	55.00	55.00
988	55.00	55.00
989	55.00	55.00
990	55.00	55.00
991	55.00	55.00
992	55.00	55.00
993	55.00	55.00
994	55.00	55.00
995	55.00	55.00
996	55.00	55.00
997	55.00	55.00
998	55.00	55.00
999	55.00	55.00
1000	55.00	55.00
